Item Code,Name,Icon URL,Thumbnail URL
"DUN CHAR74","Folk Bloom Charm","https://drive.google.com/drive/folders/1IRkM85zUv6m_DK1yY7UwnfiU2V5tbsH4?usp=drive_link","https://drive.google.com/drive/folders/1IRkM85zUv6m_DK1yY7UwnfiU2V5tbsH4?usp=drive_link"
"DUN CHAR75","Blooming Lily Charm","https://drive.google.com/drive/folders/16d-8L1Wek2T3Pj1Nl6ixHxJ6K2FZYqCe?usp=drive_link","https://drive.google.com/drive/folders/16d-8L1Wek2T3Pj1Nl6ixHxJ6K2FZYqCe?usp=drive_link"
"DUN CHAR76","Twin Blossom Charm","https://drive.google.com/drive/folders/1vWAZ2TB8z2hhVGpYMymPBgt2YtE5Ga55?usp=drive_link","https://drive.google.com/drive/folders/1vWAZ2TB8z2hhVGpYMymPBgt2YtE5Ga55?usp=drive_link"
"DUN CHAR77","Rosette Bloom Charm","https://drive.google.com/drive/folders/1D7nDQ-iy-hnkjtNn4LslzcCmOZdKL7JA?usp=drive_link","https://drive.google.com/drive/folders/1D7nDQ-iy-hnkjtNn4LslzcCmOZdKL7JA?usp=drive_link"
"DUN CHAR78","Love Note Charm","https://drive.google.com/drive/folders/1aoYtnocoWXNiY1k2BvcNsblb_VvYQOqb?usp=drive_link","https://drive.google.com/drive/folders/1aoYtnocoWXNiY1k2BvcNsblb_VvYQOqb?usp=drive_link"
"DUN CHAR79","Tulip Dawn Charm","https://drive.google.com/drive/folders/1oO8cYe8TS1neUg6_yTPCoCxorPRYDqex?usp=drive_link","https://drive.google.com/drive/folders/1oO8cYe8TS1neUg6_yTPCoCxorPRYDqex?usp=drive_link"
"DUN CHAR80","Blossom Vase Charm","https://drive.google.com/drive/folders/1mBdiPlJXv0Fi3xsjeKXvL-8VSFWzwtZ3?usp=drive_link","https://drive.google.com/drive/folders/1mBdiPlJXv0Fi3xsjeKXvL-8VSFWzwtZ3?usp=drive_link"
"DUN CHAR81","Mama Charm 💙✨","https://drive.google.com/drive/folders/1kLMto1slNdMFotiTEw4gmSJhB7kgbQ__?usp=drive_link","https://drive.google.com/drive/folders/1kLMto1slNdMFotiTEw4gmSJhB7kgbQ__?usp=drive_link"
"DUN CHAR82","Blue Rose Charm","https://drive.google.com/drive/folders/1t1tmw6kuG5gnI3jVtxnyKZY9JVCCuxqu?usp=drive_link","https://drive.google.com/drive/folders/1t1tmw6kuG5gnI3jVtxnyKZY9JVCCuxqu?usp=drive_link"
"DUN CHAR83","Blue Meadow Bloom Charm","https://drive.google.com/drive/folders/1G_97ni5YNYy_5TErkV2cRB61rEso7XPg?usp=drive_link","https://drive.google.com/drive/folders/1G_97ni5YNYy_5TErkV2cRB61rEso7XPg?usp=drive_link"
"DUN CHAR84","Scarlet Tulip Charm","https://drive.google.com/drive/folders/1nv0ooPaGJR4Shj1U4rOSvWlDThtbLbWU?usp=drive_link","https://drive.google.com/drive/folders/1nv0ooPaGJR4Shj1U4rOSvWlDThtbLbWU?usp=drive_link"
"DUN CHAR85","DescriBlue Heart Charm","https://drive.google.com/drive/folders/1ipsM_H41r5bdbU6Y7rhkCFZPUXuMOL1x?usp=drive_link","https://drive.google.com/drive/folders/1ipsM_H41r5bdbU6Y7rhkCFZPUXuMOL1x?usp=drive_link"
"DUN CHAR86","Starlit Crescent Charm","https://drive.google.com/drive/folders/1CBtdDNYPPm00-u9Esx8SbzUiEWrTEyZr?usp=drive_link","https://drive.google.com/drive/folders/1CBtdDNYPPm00-u9Esx8SbzUiEWrTEyZr?usp=drive_link"
"DUN CHAR87","Mom’s Heart Charm","https://drive.google.com/drive/folders/1dCx38cnG9oMUrH-woFjfUA4iL94Dmnvh?usp=drive_link","https://drive.google.com/drive/folders/1dCx38cnG9oMUrH-woFjfUA4iL94Dmnvh?usp=drive_link"
"DUN CHAR88","Red Heart Charm","https://drive.google.com/drive/folders/16pVYHE5bNx7nUG2u-LXadrK3F7tsf4SI?usp=drive_link","https://drive.google.com/drive/folders/16pVYHE5bNx7nUG2u-LXadrK3F7tsf4SI?usp=drive_link"
